datetime,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5_filled,is_predicted
2010-01-01 00:00:00,1,2010,1,1,0,,-21,-11.0,1021.0,NW,1.79,0,0,,False
2010-01-01 01:00:00,2,2010,1,1,1,,-21,-12.0,1020.0,NW,4.92,0,0,,False
2010-01-01 02:00:00,3,2010,1,1,2,,-21,-11.0,1019.0,NW,6.71,0,0,,False
2010-01-01 03:00:00,4,2010,1,1,3,,-21,-14.0,1019.0,NW,9.84,0,0,,False
2010-01-01 04:00:00,5,2010,1,1,4,,-20,-12.0,1018.0,NW,12.97,0,0,,False
2010-01-01 05:00:00,6,2010,1,1,5,,-19,-10.0,1017.0,NW,16.1,0,0,,False
2010-01-01 06:00:00,7,2010,1,1,6,,-19,-9.0,1017.0,NW,19.23,0,0,,False
2010-01-01 07:00:00,8,2010,1,1,7,,-19,-9.0,1017.0,NW,21.02,0,0,,False
2010-01-01 08:00:00,9,2010,1,1,8,,-19,-9.0,1017.0,NW,24.15,0,0,,False
2010-01-01 09:00:00,10,2010,1,1,9,,-20,-8.0,1017.0,NW,27.28,0,0,,False
2010-01-01 10:00:00,11,2010,1,1,10,,-19,-7.0,1017.0,NW,31.3,0,0,,False
2010-01-01 11:00:00,12,2010,1,1,11,,-18,-5.0,1017.0,NW,34.43,0,0,,False
2010-01-01 12:00:00,13,2010,1,1,12,,-19,-5.0,1015.0,NW,37.56,0,0,,False
2010-01-01 13:00:00,14,2010,1,1,13,,-18,-3.0,1015.0,NW,40.69,0,0,,False
2010-01-01 14:00:00,15,2010,1,1,14,,-18,-2.0,1014.0,NW,43.82,0,0,,False
2010-01-01 15:00:00,16,2010,1,1,15,,-18,-1.0,1014.0,cv,0.89,0,0,,False
2010-01-01 16:00:00,17,2010,1,1,16,,-19,-2.0,1015.0,NW,1.79,0,0,,False
2010-01-01 17:00:00,18,2010,1,1,17,,-18,-3.0,1015.0,NW,2.68,0,0,,False
2010-01-01 18:00:00,19,2010,1,1,18,,-18,-5.0,1016.0,NE,1.79,0,0,,False
2010-01-01 19:00:00,20,2010,1,1,19,,-17,-4.0,1017.0,NW,1.79,0,0,,False
2010-01-01 20:00:00,21,2010,1,1,20,,-17,-5.0,1017.0,cv,0.89,0,0,,False
2010-01-01 21:00:00,22,2010,1,1,21,,-17,-5.0,1018.0,NW,1.79,0,0,,False
2010-01-01 22:00:00,23,2010,1,1,22,,-17,-5.0,1018.0,NW,2.68,0,0,,False
2010-01-01 23:00:00,24,2010,1,1,23,,-17,-5.0,1020.0,cv,0.89,0,0,,False
2010-01-02 00:00:00,25,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0,129.0,False
2010-01-02 01:00:00,26,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0,148.0,False
2010-01-02 02:00:00,27,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0,159.0,False
2010-01-02 03:00:00,28,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0,181.0,False
2010-01-02 04:00:00,29,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0,138.0,False
2010-01-02 05:00:00,30,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0,109.0,False
2010-01-02 06:00:00,31,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0,105.0,False
2010-01-02 07:00:00,32,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0,124.0,False
2010-01-02 08:00:00,33,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0,120.0,False
2010-01-02 09:00:00,34,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0,132.0,False
2010-01-02 10:00:00,35,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0,140.0,False
2010-01-02 11:00:00,36,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0,152.0,False
2010-01-02 12:00:00,37,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0,148.0,False
2010-01-02 13:00:00,38,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0,164.0,False
2010-01-02 14:00:00,39,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0,158.0,False
2010-01-02 15:00:00,40,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0,154.0,False
2010-01-02 16:00:00,41,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0,159.0,False
2010-01-02 17:00:00,42,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0,164.0,False
2010-01-02 18:00:00,43,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0,170.0,False
2010-01-02 19:00:00,44,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0,149.0,False
2010-01-02 20:00:00,45,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0,154.0,False
2010-01-02 21:00:00,46,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0,164.0,False
2010-01-02 22:00:00,47,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0,156.0,False
2010-01-02 23:00:00,48,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0,126.0,False
2010-01-03 00:00:00,49,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0,90.0,False
2010-01-03 01:00:00,50,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0,63.0,False
2010-01-03 02:00:00,51,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0,65.0,False
2010-01-03 03:00:00,52,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0,55.0,False
